instant,atemp,casual,cnt,dteday,holiday,hum,mnth,registered,season,temp,weathersit,weekday,windspeed,workingday,yr
23,0.0988391,150,986,2011-01-23,0,0.436522,1,836,1,0.0965217,1,0,0.2466,0,0
114,0.551763,1710,4191,2011-04-24,0,0.810833,4,2481,2,0.581667,2,0,0.192175,0,0
660,0.456429,2132,6824,2012-10-21,0,0.51,10,4692,4,0.464167,1,0,0.166054,0,1
53,0.186033,74,1450,2011-02-22,0,0.577778,2,1376,1,0.182222,1,2,0.195683,1,0
110,0.564392,613,3944,2011-04-20,0,0.614167,4,3331,2,0.595,1,3,0.241925,1,0
91,0.283454,307,2227,2011-04-01,0,0.68625,4,1920,2,0.3,2,5,0.258708,1,0
128,0.518933,1401,4333,2011-05-08,0,0.631667,5,2932,2,0.528333,1,0,0.0746375,0,0
363,0.263892,254,2423,2011-12-29,0,0.574167,12,2169,1,0.248333,1,4,0.119412,1,0
251,0.555361,153,1842,2011-09-08,0,0.939565,9,1689,3,0.633913,3,4,0.192748,1,0
310,0.362358,952,3649,2011-11-06,0,0.734583,11,2697,4,0.348333,1,0,0.0920542,0,0
247,0.665429,2521,4940,2011-09-04,0,0.742083,9,2419,3,0.709167,1,0,0.206467,0,0
214,0.707071,801,4845,2011-08-02,0,0.49125,8,4044,3,0.783333,1,2,0.20585,1,0
429,0.303021,710,3423,2012-03-04,0,0.403333,3,2713,1,0.325833,1,0,0.334571,0,1
117,0.575142,547,3872,2011-04-27,0,0.835417,4,3325,2,0.62,2,3,0.3122,1,0
547,0.687508,1455,5687,2012-06-30,0,0.60125,6,4232,3,0.765,1,6,0.161071,0,1
144,0.604813,659,4492,2011-05-24,0,0.740833,5,3833,2,0.66,2,2,0.207092,1,0
718,0.409708,433,5557,2012-12-18,0,0.66625,12,5124,4,0.410833,1,2,0.221404,1,1
567,0.613025,747,5870,2012-07-20,0,0.844167,7,5123,3,0.665833,2,5,0.208967,1,1
120,0.464021,1965,5312,2011-04-30,0,0.503333,4,3347,2,0.4725,1,6,0.235075,0,0
504,0.551121,1521,7639,2012-05-18,0,0.523333,5,6118,2,0.564167,1,5,0.136817,1,1
729,0.2424,159,1341,2012-12-29,0,0.752917,12,1182,1,0.253333,2,6,0.124383,0,1
219,0.715292,1298,3785,2011-08-07,0,0.752917,8,2487,3,0.7425,1,0,0.201487,0,0
695,0.257583,309,2424,2012-11-25,0,0.468333,11,2115,4,0.245833,1,0,0.1505,0,1
475,0.493046,846,6565,2012-04-19,0,0.6125,4,5719,2,0.498333,1,4,0.0659292,1,1
140,0.529042,909,4917,2011-05-20,0,0.719583,5,4008,2,0.536667,1,5,0.125013,1,0
308,0.403392,470,4046,2011-11-04,0,0.6225,11,3576,4,0.403333,2,5,0.271779,1,0
483,0.452637,1014,6233,2012-04-27,0,0.400833,4,5219,2,0.4575,1,5,0.347633,1,1
55,0.289191,100,1807,2011-02-24,0,0.697391,2,1707,1,0.295652,2,4,0.250496,1,0
441,0.436229,548,4378,2012-03-16,0,0.842083,3,3830,1,0.435833,2,5,0.113192,1,1
662,0.530304,841,7466,2012-10-23,0,0.641667,10,6625,4,0.544167,1,2,0.0945458,1,1
255,0.60213,690,4713,2011-09-12,0,0.692174,9,4023,3,0.644348,1,1,0.088913,1,0
331,0.4558,810,3071,2011-11-27,0,0.698333,11,2261,4,0.459167,1,0,0.208954,0,0
129,0.525246,664,4362,2011-05-09,0,0.58875,5,3698,2,0.5325,1,1,0.176,1,0
530,0.611117,1173,7421,2012-06-13,0,0.582083,6,6248,2,0.655833,1,3,0.343279,1,1
631,0.610488,2512,8395,2012-09-22,0,0.646667,9,5883,3,0.65,1,6,0.283583,0,1
551,0.732337,2562,7403,2012-07-04,1,0.53875,7,4841,3,0.789167,1,3,0.13495,0,1
649,0.503142,780,7691,2012-10-10,0,0.630833,10,6911,4,0.514167,1,3,0.187821,1,1
701,0.316904,951,5191,2012-12-01,0,0.806667,12,4240,4,0.298333,2,6,0.0597042,0,1
646,0.419813,781,3510,2012-10-07,0,0.708333,10,2729,4,0.415833,2,0,0.141162,0,1
476,0.515775,1340,7290,2012-04-20,0,0.694583,4,5950,2,0.526667,1,5,0.149871,1,1
534,0.571975,2634,6978,2012-06-17,0,0.59875,6,4344,2,0.5925,1,0,0.144904,0,1
438,0.542929,762,5847,2012-03-13,0,0.6175,3,5085,1,0.565,1,2,0.23695,1,1
324,0.457058,787,3520,2011-11-20,0,0.684583,11,2733,4,0.463333,2,0,0.18595,0,0
439,0.548617,997,6312,2012-03-14,0,0.507083,3,5315,1,0.5725,1,3,0.115062,1,1
373,0.340258,599,3425,2012-01-08,0,0.465,1,2826,1,0.3375,1,0,0.191542,0,1
332,0.490122,253,3867,2011-11-28,0,0.743043,11,3614,4,0.503478,1,1,0.142122,1,0
623,0.594083,1379,8009,2012-09-14,0,0.6725,9,6630,3,0.633333,1,5,0.103863,1,1
33,0.254417,72,1526,2011-02-02,0,0.775417,2,1454,1,0.26,2,3,0.264308,1,0
132,0.523363,695,4864,2011-05-12,0,0.7475,5,4169,2,0.535,1,4,0.189667,1,0
535,0.544842,653,5099,2012-06-18,0,0.777917,6,4446,2,0.568333,2,1,0.174746,1,1
380,0.161625,284,2311,2012-01-15,0,0.419167,1,2027,1,0.166667,1,0,0.251258,0,1
605,0.654688,989,6917,2012-08-27,0,0.730417,8,5928,3,0.703333,1,1,0.128733,1,1
719,0.342162,333,5267,2012-12-19,0,0.625417,12,4934,4,0.3325,1,3,0.184092,1,1
340,0.4564,126,2594,2011-12-06,0,0.949583,12,2468,4,0.4625,3,2,0.232583,1,0
706,0.258204,340,5375,2012-12-06,0,0.50875,12,5035,4,0.255833,1,4,0.174754,1,1
501,0.576404,625,5115,2012-05-15,0,0.794583,5,4490,2,0.611667,2,2,0.147392,1,1
423,0.357954,253,4322,2012-02-27,0,0.490833,2,4069,1,0.366667,1,1,0.268033,1,1
274,0.412863,480,2429,2011-10-01,0,0.75375,10,1949,4,0.41,2,6,0.292296,0,0
185,0.665417,3065,6043,2011-07-04,1,0.637917,7,2978,3,0.726667,2,1,0.0814792,0,0
5,0.22927,82,1600,2011-01-05,0,0.436957,1,1518,1,0.226957,1,3,0.1869,1,0
28,0.223317,38,1167,2011-01-28,0,0.793043,1,1129,1,0.203478,2,5,0.1233,1,0
619,0.565654,1118,7525,2012-09-10,0,0.50375,9,6407,3,0.583333,1,1,0.258713,1,1
369,0.119337,95,2368,2012-01-04,0,0.414583,1,2273,1,0.1075,2,3,0.1847,1,1
420,0.410971,246,3487,2012-02-24,0,0.7375,2,3241,1,0.4075,2,5,0.237567,1,1
277,0.472858,486,4456,2011-10-04,0,0.71,10,3970,4,0.484167,1,2,0.205854,1,0
105,0.441913,642,3126,2011-04-15,1,0.67125,4,2484,2,0.446667,1,5,0.226375,0,0
313,0.409079,305,4109,2011-11-09,0,0.758333,11,3804,4,0.4,1,3,0.0621958,1,0
123,0.582079,603,4451,2011-05-03,0,0.697083,5,3848,2,0.616667,2,2,0.342667,1,0
477,0.542921,2541,6624,2012-04-21,0,0.682917,4,4083,2,0.57,1,6,0.283587,0,1
42,0.213509,149,1746,2011-02-11,0,0.506364,2,1597,1,0.189091,1,5,0.10855,1,0
320,0.451988,145,1817,2011-11-16,0,0.93,11,1672,4,0.456667,3,3,0.136829,1,0
153,0.643942,736,4968,2011-06-02,0,0.305,6,4232,2,0.715,1,4,0.292287,1,0
178,0.637004,854,4708,2011-06-27,0,0.658333,6,3854,3,0.6825,2,1,0.107588,1,0
323,0.324483,943,3663,2011-11-19,0,0.502083,11,2720,4,0.329167,1,6,0.224496,0,0
538,0.752542,778,5905,2012-06-21,0,0.567917,6,5127,3,0.805833,1,4,0.118787,1,1
248,0.625646,1236,3351,2011-09-05,1,0.790417,9,2115,3,0.673333,2,1,0.212696,0,0
50,0.391404,532,1635,2011-02-19,0,0.187917,2,1103,1,0.399167,1,6,0.507463,0,0
548,0.750629,1421,5531,2012-07-01,0,0.51875,7,4110,3,0.815833,1,0,0.168529,0,1
514,0.6793,2557,6043,2012-05-28,1,0.67625,5,3486,2,0.7125,1,1,0.196521,0,1
95,0.39835,167,1795,2011-04-05,0,0.642083,4,1628,2,0.414167,2,2,0.388067,1,0
485,0.450121,2229,6304,2012-04-29,0,0.587083,4,4075,2,0.458333,1,0,0.116908,0,1
608,0.652779,1172,7713,2012-08-30,0,0.590417,8,6541,3,0.706667,1,4,0.0771167,1,1
88,0.292908,317,2425,2011-03-29,0,0.314167,3,2108,2,0.3025,1,2,0.226996,1,0
645,0.538521,3031,7965,2012-10-06,0,0.664167,10,4934,4,0.554167,1,6,0.268025,0,1
82,0.337939,203,2121,2011-03-23,0,0.839565,3,1918,2,0.346957,2,3,0.234261,1,0
377,0.381938,269,4097,2012-01-12,0,0.802917,1,3828,1,0.3825,2,4,0.180967,1,1
49,0.511983,579,2927,2011-02-18,0,0.516667,2,2348,1,0.521667,1,5,0.264925,1,0
10,0.150888,41,1321,2011-01-10,0,0.482917,1,1280,1,0.150833,1,1,0.223267,1,0
657,0.512625,1008,7509,2012-10-18,0,0.728333,10,6501,4,0.5225,2,4,0.236937,1,1
465,0.476638,905,5585,2012-04-09,0,0.3175,4,4680,2,0.489167,1,1,0.358196,1,1
467,0.337274,482,4862,2012-04-11,0,0.469565,4,4380,2,0.348696,1,3,0.295274,1,1
225,0.645858,1504,4150,2011-08-13,0,0.729583,8,2646,3,0.685833,2,6,0.211454,0,0
664,0.529688,875,7359,2012-10-25,0,0.800417,10,6484,4,0.55,2,4,0.124375,1,1
137,0.538529,678,4123,2011-05-17,0,0.837917,5,3445,2,0.561667,2,2,0.277354,1,0
612,0.661629,1965,6034,2012-09-03,1,0.790833,9,4069,3,0.7075,1,1,0.151121,0,1
382,0.364278,127,2935,2012-01-17,0,0.716087,1,2808,1,0.373043,2,2,0.34913,1,1
398,0.398971,190,3761,2012-02-02,0,0.672917,2,3571,1,0.399167,2,4,0.187187,1,1
83,0.270833,166,1865,2011-03-24,0,0.805833,3,1699,2,0.285,2,4,0.243787,1,0
264,0.550533,539,4352,2011-09-21,0,0.9,9,3813,3,0.595,2,3,0.0964042,1,0
245,0.604808,875,4727,2011-09-02,0,0.727083,9,3852,3,0.643333,2,5,0.139929,1,0
461,0.431163,1192,6457,2012-04-05,0,0.374167,4,5265,2,0.435,1,4,0.219529,1,1
361,0.327633,103,1162,2011-12-27,0,0.7625,12,1059,1,0.325,2,2,0.18845,1,0
463,0.426129,3252,6857,2012-04-07,0,0.254167,4,3605,2,0.4375,1,6,0.274871,0,1
241,0.607958,729,4634,2011-08-29,0,0.554583,8,3905,3,0.636667,1,1,0.159825,1,0
286,0.551804,290,2913,2011-10-13,0,0.896667,10,2623,4,0.589167,2,4,0.141787,1,0
374,0.247479,106,2376,2012-01-09,0,0.701667,1,2270,1,0.224167,2,1,0.0989,1,1
118,0.578929,569,4058,2011-04-28,0,0.700833,4,3489,2,0.6175,2,4,0.320908,1,0
261,0.490537,1353,4274,2011-09-18,0,0.695,9,2921,3,0.5075,1,0,0.178483,0,0
237,0.645854,435,3542,2011-08-25,0,0.771667,8,3107,3,0.684167,2,4,0.210833,1,0
194,0.689404,748,4342,2011-07-13,0,0.631667,7,3594,3,0.746667,1,3,0.146133,1,0
456,0.421708,2301,6235,2012-03-31,0,0.738333,3,3934,2,0.424167,2,6,0.250617,0,1
60,0.263879,137,1851,2011-03-01,0,0.535,3,1714,1,0.266667,1,2,0.216425,1,0
391,0.35605,244,4075,2012-01-26,0,0.769583,1,3831,1,0.341667,2,4,0.0733958,1,1
67,0.3024,316,2133,2011-03-08,0,0.420833,3,1817,1,0.2925,1,2,0.12065,1,0
506,0.583967,2704,7129,2012-05-20,0,0.530417,5,4425,2,0.620833,1,0,0.254367,0,1
414,0.355425,1435,4318,2012-02-18,0,0.534583,2,2883,1,0.346667,1,6,0.190929,0,1
549,0.702038,904,6227,2012-07-02,0,0.447083,7,5323,3,0.781667,1,1,0.195267,1,1
125,0.441917,614,4433,2011-05-05,0,0.444167,5,3819,2,0.459167,1,4,0.295392,1,0
197,0.638263,2418,5923,2011-07-16,0,0.585,7,3505,3,0.686667,1,6,0.208342,0,0
720,0.335217,314,4128,2012-12-20,0,0.667917,12,3814,4,0.33,2,4,0.132463,1,1
416,0.273391,502,3129,2012-02-20,1,0.507826,2,2627,1,0.28,1,1,0.229083,0,1
370,0.278412,140,3272,2012-01-05,0,0.524167,1,3132,1,0.265833,1,4,0.129987,1,1
500,0.5499,342,2843,2012-05-14,0,0.789583,5,2501,2,0.573333,2,1,0.212692,1,1
594,0.654688,1338,7605,2012-08-16,0,0.519167,8,6267,3,0.719167,1,4,0.141796,1,1
134,0.500629,902,3409,2011-05-14,0,0.9225,5,2507,2,0.520833,2,6,0.13495,0,0
201,0.74685,644,4332,2011-07-20,0,0.707083,7,3688,3,0.768333,1,3,0.113817,1,0
670,0.3611,419,5566,2012-10-31,0,0.666667,10,5147,4,0.3575,2,3,0.166667,1,1
570,0.690017,1135,6966,2012-07-23,0,0.694167,7,5831,3,0.741667,1,1,0.138683,1,1
360,0.315535,430,1317,2011-12-26,1,0.506957,12,887,1,0.321739,1,1,0.239465,0,0
707,0.321958,349,5008,2012-12-07,0,0.764167,12,4659,4,0.320833,2,5,0.1306,1,1
79,0.32575,1047,2471,2011-03-20,0,0.47375,3,1424,1,0.3325,1,0,0.207721,0,0
210,0.785967,670,3846,2011-07-29,0,0.5425,7,3176,3,0.838333,1,5,0.174138,1,0
505,0.566908,3410,8294,2012-05-19,0,0.45625,5,4884,2,0.6,1,6,0.083975,0,1
16,0.234217,251,1204,2011-01-16,0,0.48375,1,953,1,0.231667,1,0,0.188433,0,0
402,0.296426,206,3784,2012-02-06,0,0.622174,2,3578,1,0.282609,1,1,0.1538,1,1
63,0.255679,214,1944,2011-03-04,0,0.610417,3,1730,1,0.261667,2,5,0.203346,1,0
725,0.294465,440,1013,2012-12-25,1,0.734783,12,573,1,0.291304,2,2,0.168726,0,1
642,0.599133,728,7572,2012-10-03,0,0.79375,10,6844,4,0.6575,2,3,0.0665458,1,1
508,0.580825,819,6073,2012-05-22,0,0.765833,5,5254,2,0.615,2,2,0.118167,1,1
490,0.590917,1069,6296,2012-05-04,0,0.735417,5,5227,2,0.6275,1,5,0.162938,1,1
253,0.607962,1750,5345,2011-09-10,0,0.75375,9,3595,3,0.66,1,6,0.153608,0,0
723,0.259471,408,1787,2012-12-23,0,0.515417,12,1379,1,0.245833,1,0,0.133083,0,1
650,0.431167,834,7570,2012-10-11,0,0.463333,10,6736,4,0.435,1,4,0.181596,1,1
330,0.385087,1249,3068,2011-11-26,0,0.681667,11,1819,4,0.375833,1,6,0.0684208,0,0
327,0.430537,112,2566,2011-11-23,0,0.757917,11,2454,4,0.440833,2,3,0.335825,1,0
80,0.409735,401,2077,2011-03-21,0,0.737391,3,1676,2,0.430435,2,1,0.288783,1,0
139,0.510742,735,4575,2011-05-19,0,0.829583,5,3840,2,0.530833,2,4,0.108213,1,0
213,0.703292,729,4266,2011-08-01,0,0.550833,8,3537,3,0.771667,1,1,0.156717,1,0
328,0.372471,560,1495,2011-11-24,1,0.549167,11,935,4,0.373333,1,4,0.167304,0,0
497,0.520833,1319,7030,2012-05-11,0,0.360417,5,5711,2,0.533333,1,5,0.236937,1,1
13,0.150883,38,1406,2011-01-13,0,0.470417,1,1368,1,0.165,1,4,0.301,1,0
379,0.183087,333,2493,2012-01-14,0,0.4575,1,2160,1,0.18,1,6,0.187183,0,1
169,0.643954,1807,5119,2011-06-18,0,0.670417,6,3312,2,0.696667,1,6,0.119408,0,0
588,0.667942,1065,5786,2012-08-10,0,0.715833,8,4721,3,0.715833,2,5,0.238813,1,1
30,0.250322,140,1096,2011-01-30,0,0.722174,1,956,1,0.216522,1,0,0.0739826,0,0
145,0.615542,740,4978,2011-05-25,0,0.69625,5,4238,2,0.660833,1,3,0.154233,1,0
351,0.249371,275,2739,2011-12-17,0,0.560833,12,2464,4,0.258333,2,6,0.243167,0,0
553,0.752533,1366,6207,2012-07-06,0,0.450833,7,4841,3,0.828333,1,5,0.146142,1,1
639,0.517663,2015,6889,2012-09-30,0,0.583333,9,4874,4,0.526667,1,0,0.134958,0,1
528,0.659721,1017,6664,2012-06-11,0,0.587917,6,5647,2,0.720833,2,1,0.207713,1,1
677,0.274621,326,5035,2012-11-07,0,0.5475,11,4709,4,0.295833,2,3,0.304108,1,1
211,0.728537,1559,4475,2011-07-30,0,0.465833,7,2916,3,0.804167,1,6,0.168537,0,0
378,0.249362,174,3214,2012-01-13,0,0.5075,1,3040,1,0.274167,1,5,0.378108,1,1
691,0.364892,615,5146,2012-11-21,0,0.61375,11,4531,4,0.353333,1,3,0.103246,1,1
674,0.329538,1201,5107,2012-11-04,0,0.532917,11,3906,4,0.325833,1,0,0.179108,0,1
111,0.453892,745,4189,2011-04-21,0,0.407083,4,3444,2,0.459167,1,4,0.325258,1,0
72,0.380091,982,2417,2011-03-13,0,0.527391,3,1435,1,0.384348,1,0,0.270604,0,0
234,0.638254,833,4758,2011-08-22,0,0.47,8,3925,3,0.691667,1,1,0.27675,1,0
293,0.466525,471,4195,2011-10-20,0,0.63625,10,3724,4,0.475833,1,4,0.422275,1,0
610,0.702654,2352,6140,2012-09-01,0,0.638333,9,3788,3,0.753333,2,6,0.113187,0,1
452,0.315654,531,5102,2012-03-27,0,0.29,3,4571,2,0.323333,1,2,0.187192,1,1
447,0.531567,1334,6871,2012-03-22,0,0.83125,3,5537,2,0.554167,1,4,0.117562,1,1
449,0.486733,1033,3372,2012-03-24,0,0.885417,3,2339,2,0.5025,2,6,0.192783,0,1
520,0.575133,2494,7641,2012-06-03,0,0.493333,6,5147,2,0.6025,1,0,0.184087,0,1
113,0.450121,1462,4036,2011-04-23,0,0.887917,4,2574,2,0.46,2,6,0.230725,0,0
375,0.318826,173,3598,2012-01-10,0,0.646522,1,3425,1,0.308696,1,2,0.187552,1,1
355,0.428017,107,2660,2011-12-21,0,0.858333,12,2553,1,0.428333,2,3,0.2214,1,0
99,0.341529,879,2455,2011-04-09,0,0.8775,4,1576,2,0.3425,2,6,0.133083,0,0
222,0.684983,884,4780,2011-08-10,0,0.424167,8,3896,3,0.766667,1,3,0.200258,1,0
160,0.757579,563,3915,2011-06-09,0,0.568333,6,3352,2,0.808333,2,4,0.149883,1,0
390,0.294821,467,4270,2012-01-25,0,0.64375,1,3803,1,0.294167,1,3,0.161071,1,1
11,0.191464,43,1263,2011-01-11,0,0.686364,1,1220,1,0.169091,2,2,0.122132,1,0
280,0.504404,949,4985,2011-10-07,0,0.684167,10,4036,4,0.510833,1,5,0.0223917,1,0
151,0.725383,673,3982,2011-05-31,0,0.636667,5,3309,2,0.775,1,2,0.111329,1,0
252,0.578946,417,3544,2011-09-09,0,0.897917,9,3127,3,0.65,2,5,0.124379,1,0
1,0.363625,331,985,2011-01-01,0,0.805833,1,654,1,0.344167,2,6,0.160446,0,0
344,0.266412,502,3190,2011-12-10,0,0.5075,12,2688,4,0.275,1,6,0.233221,0,0
334,0.311221,188,3613,2011-11-30,0,0.613333,11,3425,4,0.325,1,3,0.271158,1,0
731,0.223487,439,2729,2012-12-31,0,0.5775,12,2290,1,0.215833,2,1,0.154846,1,1
19,0.298422,78,1650,2011-01-19,0,0.741739,1,1572,1,0.292174,2,3,0.208317,1,0
263,0.532217,438,3641,2011-09-20,0,0.88125,9,3203,3,0.561667,2,2,0.134954,1,0
269,0.589042,684,4630,2011-09-26,0,0.848333,9,3946,4,0.649167,2,1,0.1107,1,0
61,0.320071,231,2134,2011-03-02,0,0.449583,3,1903,1,0.335,1,3,0.307833,1,0
727,0.226642,247,2114,2012-12-27,0,0.652917,12,1867,1,0.254167,2,4,0.350133,1,1
157,0.621858,673,4548,2011-06-06,0,0.6,6,3875,2,0.678333,1,1,0.121896,1,0
204,0.804287,987,3285,2011-07-23,0,0.5,7,2298,3,0.849167,1,6,0.131221,0,0
705,0.428012,331,5729,2012-12-05,0,0.485,12,5398,4,0.438333,1,3,0.324021,1,1
557,0.664796,954,6290,2012-07-10,0,0.6675,7,5336,3,0.720833,2,2,0.151737,1,1
599,0.601025,1081,7006,2012-08-21,0,0.67375,8,5925,3,0.649167,1,2,0.0727708,1,1
46,0.254274,140,1815,2011-02-15,0,0.314348,2,1675,1,0.266087,1,2,0.291374,1,0
43,0.232954,288,1472,2011-02-12,0,0.544167,2,1184,1,0.2225,1,6,0.203367,0,0
552,0.761367,1405,6241,2012-07-05,0,0.457917,7,4836,3,0.8275,1,4,0.194029,1,1
130,0.522721,694,4803,2011-05-10,0,0.489167,5,4109,2,0.5325,1,2,0.115671,1,0
8,0.162254,68,959,2011-01-08,0,0.535833,1,891,1,0.165,2,6,0.266804,0,0
571,0.70645,1140,7592,2012-07-24,0,0.655,7,6452,3,0.750833,1,2,0.211454,1,1
711,0.338363,282,5501,2012-12-11,0,0.596667,12,5219,4,0.353333,2,2,0.296037,1,1
527,0.663517,2224,6598,2012-06-10,0,0.538333,6,4374,2,0.726667,1,0,0.133721,0,1
352,0.245579,220,2431,2011-12-18,0,0.58625,12,2211,4,0.238333,1,0,0.169779,0,0
52,0.284075,195,1107,2011-02-21,1,0.605,2,912,1,0.303333,2,1,0.307846,0,0
311,0.400871,373,4035,2011-11-07,0,0.75875,11,3662,4,0.395,1,1,0.057225,1,0
472,0.614925,1198,6370,2012-04-16,1,0.561667,4,5172,2,0.664167,1,1,0.284829,0,1
283,0.542925,1514,5117,2011-10-10,1,0.73375,10,3603,4,0.570833,1,1,0.0423042,0,0
397,0.466538,304,4579,2012-02-01,0,0.507917,2,4275,1,0.469167,1,3,0.189067,1,1
257,0.6269,647,4785,2011-09-14,0,0.697083,9,4138,3,0.673333,1,3,0.1673,1,0
512,0.642696,2855,6536,2012-05-26,0,0.7325,5,3681,2,0.6925,1,6,0.198992,0,1
221,0.724121,907,4602,2011-08-09,0,0.570417,8,3695,3,0.775,1,2,0.151121,1,0
493,0.527142,1008,6273,2012-05-07,0,0.664167,5,5265,2,0.5375,2,1,0.230721,1,1
122,0.532833,847,4401,2011-05-02,0,0.73,5,3554,2,0.549167,2,1,0.183454,1,0
212,0.729796,1524,4302,2011-07-31,0,0.480833,7,2778,3,0.805833,1,0,0.164813,0,0
368,0.126275,89,2236,2012-01-03,0,0.44125,1,2147,1,0.15,1,2,0.365671,1,1
507,0.565667,630,4359,2012-05-21,0,0.81125,5,3729,2,0.598333,2,1,0.233204,1,1
458,0.427513,1208,5936,2012-04-02,0,0.504348,4,4728,2,0.433913,1,1,0.312139,1,1
346,0.270196,143,3310,2011-12-12,0,0.670833,12,3167,4,0.238333,1,1,0.06345,1,0
2,0.353739,131,801,2011-01-02,0,0.696087,1,670,1,0.363478,2,0,0.248539,0,0
45,0.39835,208,1913,2011-02-14,0,0.375833,2,1705,1,0.415,1,1,0.417908,1,0
624,0.585867,3160,8714,2012-09-15,0,0.501667,9,5554,3,0.608333,1,6,0.247521,0,1
176,0.643313,1782,5202,2011-06-25,0,0.483333,6,3420,3,0.695,1,6,0.209571,0,0
322,0.272721,245,3392,2011-11-18,0,0.41,11,3147,4,0.274167,1,5,0.168533,1,0
440,0.532825,1005,6192,2012-03-15,0,0.579583,3,5187,1,0.5575,1,4,0.149883,1,1
73,0.332,359,2046,2011-03-14,0,0.496957,3,1687,1,0.325217,1,1,0.136926,1,0
381,0.190663,217,2298,2012-01-16,1,0.5225,1,2081,1,0.19,1,1,0.231358,0,1
671,0.369942,466,5986,2012-11-01,0,0.581667,11,5520,4,0.365833,2,4,0.157346,1,1
622,0.579558,1054,7804,2012-09-13,0,0.637083,9,6750,3,0.6125,1,4,0.0827208,1,1
444,0.532821,982,6153,2012-03-19,0,0.72875,3,5171,1,0.545,1,1,0.162317,1,1
678,0.341891,340,5315,2012-11-08,0,0.333478,11,4975,4,0.352174,1,4,0.347835,1,1
665,0.52275,1182,7444,2012-10-26,0,0.807083,10,6262,4,0.545833,2,5,0.132467,1,1
455,0.375621,796,5459,2012-03-30,0,0.580833,3,4663,2,0.37,2,5,0.138067,1,1
343,0.317542,261,3620,2011-12-09,0,0.695833,12,3359,4,0.290833,1,5,0.0827167,1,0
273,0.544829,830,5202,2011-09-30,0,0.6475,9,4372,4,0.564167,1,5,0.206475,1,0
218,0.676154,1521,4294,2011-08-06,0,0.755,8,2773,3,0.716667,2,6,0.22825,0,0
592,0.676779,1128,6784,2012-08-14,0,0.686667,8,5656,3,0.726667,1,2,0.169158,1,1
697,0.281558,123,3959,2012-11-27,0,0.786667,11,3836,4,0.291667,2,2,0.237562,1,1
